,location,district,rooms,size,level,max_levels,price,income_cat,price_cat
5418,"город Ташкент, Учтепинский район, Изза",Учтепинский,2,60.0,1,9,50000,2,2
5419,"город Ташкент, Чиланзарский район, Алмазар",Чиланзарский,2,75.0,6,9,75000,3,3
5420,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,1,42.0,3,4,28000,1,1
5421,"город Ташкент, Шайхантахурский район, Самарканд Дарвоза",Шайхантахурский,1,39.0,1,4,27200,1,1
5422,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,2,50.0,2,4,43000,2,2
5423,"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,3,73.0,9,9,57000,3,3
5424,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,2,52.0,1,5,28000,1,1
5425,"город Ташкент, Юнусабадский район, Юнусабад-11",Юнусабадский,2,60.0,3,4,36000,2,2
5426,"город Ташкент, Учтепинский район, Чиланзар 25-й квартал",Учтепинский,4,84.0,5,5,48000,2,2
5427,"город Ташкент, Мирабадский район, Миробод",Мирабадский,4,100.0,9,9,70000,3,3
5429,"город Ташкент, Мирабадский район, Нукусская",Мирабадский,4,147.0,3,12,132000,4,4
5430,"город Ташкент, Юнусабадский район, ц-5 Киёт (Ц-5) ",Юнусабадский,4,95.0,4,4,60000,3,3
5431,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,2,40.0,4,5,30000,1,1
5432,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,3,68.0,5,5,55000,3,3
5433,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,3,70.0,3,4,72000,3,3
5434,"город Ташкент, Учтепинский район, Кухна-Чупонота массив Чиланзар 13-й квартал",Учтепинский,2,42.0,2,5,29800,1,1
5435,"город Ташкент, Учтепинский район, Кухна-Чупонота массив Чиланзар 13-й квартал",Учтепинский,2,42.0,4,5,28500,1,1
5436,"город Ташкент, Учтепинский район, Чиланзар 12-й квартал",Учтепинский,3,70.0,2,4,68000,3,3
5437,"город Ташкент, Учтепинский район, Чиланзар 21-й квартал",Учтепинский,2,47.0,3,4,33000,2,2
5438,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,2,48.0,2,4,40500,2,2
5439,"город Ташкент, Чиланзарский район, Чиланзар 8-й квартал",Чиланзарский,2,45.0,1,4,38500,2,2
5440,"город Ташкент, Чиланзарский район, Чиланзар 7-й квартал",Чиланзарский,1,43.0,5,9,35000,2,2
5441,"город Ташкент, Учтепинский район, Чиланзар 11-й квартал",Учтепинский,2,47.0,3,4,38000,2,2
5442,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,3,65.0,1,4,45500,2,2
5443,"город Ташкент, Мирзо-Улугбекский район, Карасу 3-й квартал",Мирзо-Улугбекский,3,75.0,7,9,39500,2,2
5444,"город Ташкент, Чиланзарский район, Чиланзар 1-й квартал",Чиланзарский,1,35.0,3,4,36500,2,2
5445,"город Ташкент, Чиланзарский район, Чиланзар 16-й квартал",Чиланзарский,2,47.0,4,4,29500,1,1
5446,"город Ташкент, Мирзо-Улугбекский район, 2-й Паркентский проезд",Мирзо-Улугбекский,3,75.0,5,9,41500,2,2
5447,"город Ташкент, Юнусабадский район, Юнусабад 14-й квартал",Юнусабадский,4,98.0,3,5,80000,3,3
5448,"город Ташкент, Чиланзарский район, Чиланзар 2-й квартал",Чиланзарский,3,64.0,2,3,43500,2,2
5449,"город Ташкент, Чиланзарский район, Чиланзар 9-й квартал",Чиланзарский,3,70.0,4,4,45000,2,2
5450,"город Ташкент, Мирзо-Улугбекский район, Мирзо Улугбека",Мирзо-Улугбекский,2,45.0,1,5,38000,2,2
5451,"город Ташкент, Чиланзарский район, Аль-Хорезми-2",Чиланзарский,3,98.0,9,9,45000,2,2
5452,"город Ташкент, Олмазорский район, Каракамыш-2/3",Олмазорский,2,28.52,1,4,30000,1,1
5453,"город Ташкент, Учтепинский район, Чиланзар 23-й квартал",Учтепинский,2,42.0,4,5,29200,1,1
5455,"город Ташкент, Олмазорский район, Зиёвуддина Бобохонова",Олмазорский,2,75.0,4,9,41500,2,2
5457,"город Ташкент, Мирабадский район, Госпитальный",Мирабадский,4,120.0,6,9,84000,4,4
5458,"город Ташкент, Яккасарайский район, Конституция",Яккасарайский,1,29.0,7,9,15682,1,1
5459,"город Ташкент, Яшнободский район, 40-",Яшнободский,1,21.0,4,9,11500,1,1
5460,"город Ташкент, Мирзо-Улугбекский район, Феруза,Северо Восток",Мирзо-Улугбекский,3,75.0,2,4,43000,2,2
5461,"город Ташкент, Юнусабадский район, Киёт",Юнусабадский,5,254.0,1,8,285000,4,4
5463,"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,2,51.0,9,9,37002,2,2
5464,"город Ташкент, Мирзо-Улугбекский район, Элобод",Мирзо-Улугбекский,4,90.0,4,4,61000,3,3
5465,"город Ташкент, Мирзо-Улугбекский район, Саёхат",Мирзо-Улугбекский,4,100.0,5,9,75000,3,3
5466,"город Ташкент, Мирзо-Улугбекский район, Северо Восток,Феруза",Мирзо-Улугбекский,4,90.0,3,4,69999,3,3
5467,"город Ташкент, Мирабадский район, ЦУМ (Ц-7) ",Мирабадский,3,100.0,3,4,127000,4,4
5468,"город Ташкент, Яккасарайский район, Конституция",Яккасарайский,4,149.0,2,8,209000,4,4
5469,"город Ташкент, Яшнободский район, 1-й проезд Алимкент",Яшнободский,2,50.0,1,4,42000,2,2
5470,"город Ташкент, Учтепинский район, Чиланзар 13-й квартал махалля Кухна-Чупонота",Учтепинский,2,70.0,4,5,41500,2,2
5472,"город Ташкент, Мирзо-Улугбекский район, Буюк Ипак йули (Луначарское) ",Мирзо-Улугбекский,1,38.0,4,4,26500,1,1
5473,"город Ташкент, Яккасарайский район, Ракат",Яккасарайский,2,60.0,4,4,45000,2,2
5474,"город Ташкент, Юнусабадский район, Юнусабад 18-й квартал",Юнусабадский,2,60.0,3,5,47000,2,2
5475,"город Ташкент, Мирабадский район, Истикбол",Мирабадский,3,76.0,3,4,71000,3,3
5476,"город Ташкент, Мирабадский район, Афросиаб (пр-т Косманавтов) ",Мирабадский,3,75.0,6,9,60000,3,3
5477,"город Ташкент, Яккасарайский район, Бабура",Яккасарайский,6,145.0,1,9,142000,4,4
5478,"город Ташкент, Юнусабадский район, Юнусабад 9-й квартал",Юнусабадский,2,56.0,4,4,41000,2,2
5479,"город Ташкент, Шайхантахурский район, 1-й проезд Лабзак",Шайхантахурский,1,42.0,2,4,36500,2,2
5480,"город Ташкент, Яккасарайский район, Кушбеги",Яккасарайский,1,39.0,4,5,24500,1,1
5481,"город Ташкент, Юнусабадский район, Юнусабад 13-й квартал",Юнусабадский,2,50.0,3,4,45000,2,2
5482,"город Ташкент, Шайхантахурский район, Ориентир 1 Горбольница",Шайхантахурский,5,120.0,3,4,75000,3,3
5483,"город Ташкент, Юнусабадский район, Ифтихор",Юнусабадский,2,50.0,2,3,32000,2,2
5484,"город Ташкент, Мирабадский район, Фидокор (Чехова) ",Мирабадский,3,63.0,2,4,66000,3,3
5485,"город Ташкент, Шайхантахурский район, Караташ",Шайхантахурский,3,80.0,6,9,48000,2,2
5486,"город Ташкент, Юнусабадский район, Юнусабад 19-й квартал",Юнусабадский,2,42.0,4,9,25000,1,1
5487,"город Ташкент, Шайхантахурский район, Уйгур",Шайхантахурский,3,95.0,6,9,78000,3,3
5488,"город Ташкент, Шайхантахурский район, жилой комплекс Boulevard Международный деловой центр Tashkent City",Шайхантахурский,2,48.0,8,9,69000,3,3
5489,"город Ташкент, Юнусабадский район, Юнусабад 2-й квартал",Юнусабадский,2,83.0,2,9,63000,3,3
5491,"город Ташкент, Чиланзарский район, Чиланзар квартал Е",Чиланзарский,3,75.0,2,9,66000,3,3
5492,"город Ташкент, Шайхантахурский район, Международный деловой центр Tashkent City",Шайхантахурский,4,125.0,3,9,210000,4,4
5493,"город Ташкент, Чиланзарский район, Чиланзар",Чиланзарский,4,105.0,6,9,60000,3,3
5494,"город Ташкент, Чиланзарский район, Новза",Чиланзарский,4,125.0,6,9,250000,4,4
5495,"город Ташкент, Учтепинский район, Чиланзар 26-й квартал",Учтепинский,2,52.0,5,5,35000,2,2
5497,"город Ташкент, Учтепинский район, Чиланзар 24-й квартал",Учтепинский,4,90.0,3,9,55000,3,3
